case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,16,fixed_latent,stage32_upsample,1.5342299938201904,0.6896782517433167,1.3704764073160047,0.44952729025068583
cifar,16,fixed_latent,stage32_position,1.5348869562149048,0.6896782517433167,1.371211828067034,0.44933488355656626
cifar,16,fixed_latent,stage32_block0_attention,0.23808936774730682,0.014635770581662655,0.23763909874806638,0.061471752057387745
cifar,16,fixed_latent,stage32_block0_attention_residual,1.5599822998046875,0.6892419457435608,1.399460723254337,0.44182677318188485
cifar,16,fixed_latent,stage32_block0_ffn,0.2411705106496811,0.08456606417894363,0.2258579110775417,0.3506484435063556
cifar,16,fixed_latent,stage32_block0,1.6439781188964844,0.6907497048377991,1.4918206663928868,0.4201696463584703
cifar,16,fixed_latent,stage32_block1_attention,0.2378694713115692,0.009637847542762756,0.23767414095098338,0.040517379088713695
cifar,16,fixed_latent,stage32_block1_attention_residual,1.7020095586776733,0.6914558410644531,1.5552251790940173,0.4062584945772335
cifar,16,fixed_latent,stage32_block1_ffn,0.2716588079929352,0.0866202861070633,0.2574789971917572,0.3188569026972833
cifar,16,fixed_latent,stage32_block1,1.8224213123321533,0.7027202844619751,1.6814885195707192,0.3855970514099748
cifar,16,fixed_latent,output_projection,4.611686706542969,1.044294834136963,4.491892983887749,0.22644531178914176
cifar,16,evolving_prior,input_projection,0.5805516839027405,0.5715693235397339,0.10172888513415698,0.9845278885376355
cifar,16,evolving_prior,stage8_position,0.5809242725372314,0.5715693235397339,0.10383409272123759,0.9838964397947445
cifar,16,evolving_prior,stage8_block0_attention,0.058121148496866226,0.04382649436593056,0.038174681323985306,0.7540541695987579
cifar,16,evolving_prior,stage8_block0_attention_residual,0.5837302803993225,0.5731399655342102,0.11068703701209108,0.9818575201240758
cifar,16,evolving_prior,stage8_block0_ffn,0.25774285197257996,0.193894162774086,0.16981293055917593,0.7522775560608504
cifar,16,evolving_prior,stage8_block0,0.635054349899292,0.6007309556007385,0.2059522913420385,0.9459520365398701
